Player,Age,Tm
Jake Allen,27,STL
Frederik Andersen,28,TOR
Craig Anderson,36,OTT
Ken Appleby,22,NJD
Jonathan Bernier,29,COL
Reto Berra,31,ANA
Jean-Francois Berube,26,CHI
Ben Bishop,31,DAL
Sergei Bobrovsky,29,CBJ
Laurent Brossoit,24,EDM
Peter Budaj,35,TBL
Jack Campbell,26,LAK
Eric Comrie,22,WPG
Mike Condon,27,OTT
Jared Coreau,26,DET
Corey Crawford,33,CHI
Oscar Dansk,23,VEG
Scott Darling,29,CAR
Aaron Dell,28,SJS
Casey DeSmith,26,PIT
Louis Domingue,25,TOT
Louis Domingue,25,ARI
Louis Domingue,25,TBL
Devan Dubnyk,31,MIN
Brian Elliott,32,PHI
Dylan Ferguson,19,VEG
Marc-Andre Fleury,33,VEG
Anton Forsberg,25,CHI
Alexandar Georgiev,21,NYR
Christopher Gibson,25,NYI
John Gibson,24,ANA
Jon Gillies,24,CGY
Jeff Glass,32,CHI
Thomas Greiss,32,NYI
Philipp Grubauer,26,WSH
Jaroslav Halak,32,NYI
Brandon Halverson,21,NYR
Connor Hellebuyck,24,WPG
Adin Hill,21,ARI
Braden Holtby,28,WSH
Jimmy Howard,33,DET
Michael Hutchinson,27,WPG
Carter Hutton,32,STL
Tristan Jarry,22,PIT
Chad Johnson,31,BUF
Martin Jones,28,SJS
Anton Khudobin,31,BOS
Keith Kinkaid,28,NJD
Joonas Korpisalo,23,CBJ
Darcy Kuemper,27,TOT
Darcy Kuemper,27,LAK
Darcy Kuemper,27,ARI
Eddie Lack,30,TOT
Eddie Lack,30,NJD
Eddie Lack,30,CGY
Maxime Lagace,25,VEG
Marek Langhamer,23,ARI
Robin Lehner,26,BUF
Kari Lehtonen,34,DAL
Charlie Lindgren,24,MTL
Henrik Lundqvist,35,NYR
Roberto Luongo,38,FLA
Alex Lyon,25,PHI
Jacob Markstrom,28,VAN
Steve Mason,29,WPG
Curtis McElhinney,34,TOR
Ryan Miller,37,ANA
Al Montoya,32,TOT
Al Montoya,32,EDM
Al Montoya,32,MTL
Petr Mrazek,25,TOT
Petr Mrazek,25,DET
Petr Mrazek,25,PHI
Matt Murray,23,PIT
Michal Neuvirth,29,PHI
Antti Niemi,34,TOT
Antti Niemi,34,MTL
Antti Niemi,34,PIT
Antti Niemi,34,FLA
Anders Nilsson,27,VAN
Ondrej Pavelec,30,NYR
Calvin Pickard,25,TOR
Carey Price,30,MTL
Jonathan Quick,32,LAK
Antti Raanta,28,ARI
Tuukka Rask,30,BOS
James Reimer,29,FLA
Pekka Rinne,35,NSH
David Rittich,25,CGY
Juuse Saros,22,NSH
Harri Sateri,28,FLA
Cory Schneider,31,NJD
Mike Smith,35,CGY
Alex Stalock,30,MIN
Malcolm Subban,24,VEG
Cam Talbot,30,EDM
Linus Ullmark,24,BUF
Semyon Varlamov,29,COL
Andrei Vasilevskiy,23,TBL
Cam Ward,33,CAR
Scott Wedgewood,25,ARI